age,race
23.0,Hispanic
39.0,Hispanic
22.0,Hispanic
33.0,Hispanic
23.0,Hispanic
29.0,Hispanic
36.0,Hispanic
24.0,Hispanic
27.0,Hispanic
36.0,Hispanic
56.0,Hispanic
26.0,Hispanic
17.0,Hispanic
24.0,Hispanic
34.0,Hispanic
31.0,Hispanic
37.0,Hispanic
28.0,Hispanic
28.0,Hispanic
35.0,Hispanic
21.0,Hispanic
35.0,Hispanic
37.0,Hispanic
50.0,Hispanic
,Hispanic
31.0,Hispanic
42.0,Hispanic
21.0,Hispanic
27.0,Hispanic
28.0,Hispanic
36.0,Hispanic
40.0,Hispanic
37.0,Hispanic
39.0,Hispanic
25.0,Hispanic
32.0,Hispanic
41.0,Hispanic
29.0,Hispanic
22.0,Hispanic
28.0,Hispanic
35.0,Hispanic
23.0,Hispanic
21.0,Hispanic
39.0,Hispanic
21.0,Hispanic
27.0,Hispanic
52.0,Hispanic
47.0,Hispanic
29.0,Hispanic
43.0,Hispanic
25.0,Hispanic
35.0,Hispanic
51.0,Hispanic
19.0,Hispanic
33.0,Hispanic
27.0,Hispanic
22.0,Hispanic
44.0,Hispanic
54.0,Hispanic
22.0,Hispanic
24.0,Hispanic
39.0,Hispanic
46.0,Hispanic
36.0,Hispanic
18.0,Hispanic
33.0,Hispanic
50.0,Hispanic
45.0,Hispanic
27.0,Hispanic
30.0,Hispanic
28.0,Hispanic
22.0,Hispanic
28.0,Hispanic
28.0,Hispanic
44.0,Hispanic
50.0,Hispanic
24.0,Hispanic
35.0,Hispanic
28.0,Hispanic
27.0,Hispanic
46.0,Hispanic
33.0,Hispanic
42.0,Hispanic
47.0,Hispanic
39.0,Hispanic
23.0,Hispanic
29.0,Hispanic
24.0,Hispanic
25.0,Hispanic
34.0,Hispanic
30.0,Hispanic
47.0,Hispanic
33.0,Hispanic
29.0,Hispanic
55.0,Hispanic
42.0,Hispanic
24.0,Hispanic
22.0,Hispanic
27.0,Hispanic
26.0,Hispanic
29.0,Hispanic
40.0,Hispanic
17.0,Hispanic
30.0,Hispanic
22.0,Hispanic
29.0,Hispanic
41.0,Hispanic
29.0,Hispanic
40.0,Hispanic
40.0,Hispanic
49.0,Hispanic
32.0,Hispanic
59.0,Hispanic
45.0,Hispanic
41.0,Hispanic
32.0,Hispanic
51.0,Hispanic
39.0,Hispanic
24.0,Hispanic
34.0,Hispanic
42.0,Hispanic
23.0,Hispanic
37.0,Hispanic
40.0,Hispanic
59.0,Hispanic
28.0,Hispanic
26.0,Hispanic
46.0,Hispanic
35.0,Hispanic
34.0,Hispanic
43.0,Hispanic
18.0,Hispanic
15.0,Hispanic
27.0,Hispanic
27.0,Hispanic
22.0,Hispanic
40.0,Hispanic
35.0,Hispanic
21.0,Hispanic
34.0,Hispanic
29.0,Hispanic
25.0,Hispanic
45.0,Hispanic
35.0,Hispanic
34.0,Hispanic
36.0,Hispanic
31.0,Hispanic
25.0,Hispanic
25.0,Hispanic
31.0,Hispanic
28.0,Hispanic
49.0,Hispanic
69.0,Hispanic
23.0,Hispanic
31.0,Hispanic
18.0,Hispanic
35.0,Hispanic
32.0,Hispanic
36.0,Hispanic
38.0,Hispanic
49.0,Hispanic
32.0,Hispanic
19.0,Hispanic
45.0,Hispanic
58.0,Hispanic
26.0,Hispanic
31.0,Hispanic
34.0,Hispanic
19.0,Hispanic
23.0,Hispanic
38.0,Hispanic
55.0,Hispanic
28.0,Hispanic
32.0,Hispanic
39.0,Hispanic
34.0,Hispanic
24.0,Hispanic
38.0,Hispanic
31.0,Hispanic
26.0,Hispanic
38.0,Hispanic
64.0,Hispanic
46.0,Hispanic
21.0,Hispanic
31.0,Hispanic
43.0,Hispanic
16.0,Hispanic
22.0,Hispanic
29.0,Hispanic
52.0,Hispanic
30.0,Hispanic
35.0,Hispanic
32.0,Hispanic
30.0,Hispanic
23.0,Hispanic
33.0,Hispanic
36.0,Hispanic
39.0,Hispanic
27.0,Hispanic
26.0,Hispanic
23.0,Hispanic
39.0,Hispanic
22.0,Hispanic
27.0,Hispanic
41.0,Hispanic
41.0,Hispanic
21.0,Hispanic
23.0,Hispanic
23.0,Hispanic
16.0,Hispanic
23.0,Hispanic
33.0,Hispanic
62.0,Hispanic
25.0,Hispanic
34.0,Hispanic
48.0,Hispanic
19.0,Hispanic
39.0,Hispanic
25.0,Hispanic
65.0,Hispanic
37.0,Hispanic
50.0,Hispanic
20.0,Hispanic
45.0,Hispanic
28.0,Hispanic
22.0,Hispanic
38.0,Hispanic
38.0,Hispanic
48.0,Hispanic
28.0,Hispanic
20.0,Hispanic
30.0,Hispanic
35.0,Hispanic
35.0,Hispanic
31.0,Hispanic
19.0,Hispanic
25.0,Hispanic
25.0,Hispanic
21.0,Hispanic
43.0,Hispanic
32.0,Hispanic
50.0,Hispanic
31.0,Hispanic
80.0,Hispanic
50.0,Hispanic
22.0,Hispanic
21.0,Hispanic
30.0,Hispanic
24.0,Hispanic
42.0,Hispanic
26.0,Hispanic
36.0,Hispanic
27.0,Hispanic
44.0,Hispanic
,Hispanic
19.0,Hispanic
18.0,Hispanic
24.0,Hispanic
37.0,Hispanic
41.0,Hispanic
31.0,Hispanic
34.0,Hispanic
36.0,Hispanic
24.0,Hispanic
41.0,Hispanic
31.0,Hispanic
36.0,Hispanic
38.0,Hispanic
34.0,Hispanic
14.0,Hispanic
33.0,Hispanic
22.0,Hispanic
36.0,Hispanic
38.0,Hispanic
29.0,Hispanic
25.0,Hispanic
37.0,Hispanic
47.0,Hispanic
22.0,Hispanic
71.0,Hispanic
36.0,Hispanic
36.0,Hispanic
32.0,Hispanic
26.0,Hispanic
23.0,Hispanic
,Hispanic
38.0,Hispanic
,Hispanic
44.0,Hispanic
35.0,Hispanic
31.0,Hispanic
38.0,Hispanic
32.0,Hispanic
25.0,Hispanic
32.0,Hispanic
30.0,Hispanic
28.0,Hispanic
16.0,Hispanic
31.0,Hispanic
21.0,Hispanic
27.0,Hispanic
24.0,Hispanic
50.0,Hispanic
42.0,Hispanic
28.0,Hispanic
24.0,Hispanic
23.0,Hispanic
55.0,Hispanic
26.0,Hispanic
35.0,Hispanic
33.0,Hispanic
23.0,Hispanic
45.0,Hispanic
41.0,Hispanic
,Hispanic
29.0,Hispanic
22.0,Hispanic
21.0,Hispanic
37.0,Hispanic
29.0,Hispanic
24.0,Hispanic
45.0,Hispanic
26.0,Hispanic
20.0,Hispanic
23.0,Hispanic
,Hispanic
30.0,Hispanic
73.0,Hispanic
33.0,Hispanic
46.0,Hispanic
38.0,Hispanic
41.0,Hispanic
23.0,Hispanic
20.0,Hispanic
31.0,Hispanic
50.0,Hispanic
38.0,Hispanic
38.0,Hispanic
39.0,Hispanic
16.0,Hispanic
44.0,Hispanic
33.0,Hispanic
21.0,Hispanic
34.0,Hispanic
27.0,Hispanic
29.0,Hispanic
18.0,Hispanic
32.0,Hispanic
28.0,Hispanic
25.0,Hispanic
25.0,Hispanic
18.0,Hispanic
45.0,Hispanic
18.0,Hispanic
27.0,Hispanic
26.0,Hispanic
23.0,Hispanic
33.0,Hispanic
52.0,Hispanic
33.0,Hispanic
26.0,Hispanic
55.0,Hispanic
48.0,Hispanic
18.0,Hispanic
26.0,Hispanic
38.0,Hispanic
25.0,Hispanic
39.0,Hispanic
33.0,Hispanic
24.0,Hispanic
34.0,Hispanic
27.0,Hispanic
25.0,Hispanic
37.0,Hispanic
70.0,Hispanic
24.0,Hispanic
33.0,Hispanic
28.0,Hispanic
16.0,Hispanic
45.0,Hispanic
24.0,Hispanic
26.0,Hispanic
35.0,Hispanic
46.0,Hispanic
47.0,Hispanic
32.0,Hispanic
19.0,Hispanic
36.0,Hispanic
16.0,Hispanic
55.0,Hispanic
,Hispanic
25.0,Hispanic
53.0,Hispanic
20.0,Hispanic
25.0,Hispanic
20.0,Hispanic
26.0,Hispanic
16.0,Hispanic
,Hispanic
41.0,Hispanic
24.0,Hispanic
37.0,Hispanic
21.0,Hispanic
,Hispanic
59.0,Hispanic
20.0,Hispanic
18.0,Hispanic
27.0,Hispanic
55.0,Hispanic
21.0,Hispanic
45.0,Hispanic
44.0,Hispanic
45.0,Hispanic
63.0,Hispanic
32.0,Hispanic
17.0,Hispanic
34.0,Hispanic
33.0,Hispanic
23.0,Hispanic
24.0,Hispanic
37.0,Hispanic
41.0,Hispanic
,Hispanic
