age,race
26.0,Native American
24.0,Native American
37.0,Native American
31.0,Native American
35.0,Native American
23.0,Native American
19.0,Native American
33.0,Native American
46.0,Native American
49.0,Native American
32.0,Native American
22.0,Native American
36.0,Native American
36.0,Native American
38.0,Native American
27.0,Native American
43.0,Native American
31.0,Native American
26.0,Native American
34.0,Native American
29.0,Native American
29.0,Native American
19.0,Native American
23.0,Native American
44.0,Native American
20.0,Native American
28.0,Native American
34.0,Native American
25.0,Native American
24.0,Native American
21.0,Native American
