age,race
47.0,White
32.0,White
18.0,White
35.0,White
34.0,White
25.0,White
30.0,White
28.0,White
42.0,White
49.0,White
71.0,White
39.0,White
34.0,White
43.0,White
29.0,White
75.0,White
68.0,White
34.0,White
24.0,White
33.0,White
41.0,White
32.0,White
67.0,White
49.0,White
36.0,White
54.0,White
17.0,White
61.0,White
40.0,White
45.0,White
68.0,White
29.0,White
39.0,White
45.0,White
26.0,White
42.0,White
31.0,White
48.0,White
17.0,White
59.0,White
42.0,White
45.0,White
59.0,White
26.0,White
33.0,White
27.0,White
57.0,White
46.0,White
41.0,White
61.0,White
45.0,White
46.0,White
23.0,White
27.0,White
16.0,White
51.0,White
34.0,White
34.0,White
56.0,White
26.0,White
24.0,White
43.0,White
31.0,White
32.0,White
30.0,White
41.0,White
51.0,White
50.0,White
42.0,White
39.0,White
47.0,White
37.0,White
41.0,White
30.0,White
43.0,White
31.0,White
49.0,White
34.0,White
24.0,White
17.0,White
37.0,White
49.0,White
25.0,White
26.0,White
34.0,White
29.0,White
35.0,White
58.0,White
46.0,White
23.0,White
31.0,White
31.0,White
54.0,White
53.0,White
59.0,White
36.0,White
53.0,White
26.0,White
27.0,White
28.0,White
52.0,White
20.0,White
49.0,White
24.0,White
24.0,White
47.0,White
49.0,White
64.0,White
20.0,White
36.0,White
39.0,White
31.0,White
34.0,White
44.0,White
60.0,White
42.0,White
21.0,White
37.0,White
36.0,White
38.0,White
57.0,White
63.0,White
53.0,White
56.0,White
40.0,White
42.0,White
26.0,White
49.0,White
36.0,White
36.0,White
63.0,White
27.0,White
38.0,White
34.0,White
51.0,White
56.0,White
23.0,White
31.0,White
32.0,White
60.0,White
22.0,White
31.0,White
28.0,White
38.0,White
66.0,White
83.0,White
32.0,White
31.0,White
51.0,White
72.0,White
45.0,White
40.0,White
44.0,White
59.0,White
30.0,White
26.0,White
51.0,White
46.0,White
49.0,White
63.0,White
25.0,White
58.0,White
29.0,White
76.0,White
45.0,White
58.0,White
27.0,White
26.0,White
53.0,White
52.0,White
36.0,White
53.0,White
36.0,White
46.0,White
18.0,White
38.0,White
35.0,White
58.0,White
47.0,White
28.0,White
40.0,White
37.0,White
53.0,White
41.0,White
42.0,White
34.0,White
18.0,White
27.0,White
35.0,White
17.0,White
52.0,White
39.0,White
43.0,White
40.0,White
47.0,White
40.0,White
31.0,White
62.0,White
24.0,White
39.0,White
24.0,White
57.0,White
33.0,White
60.0,White
18.0,White
35.0,White
55.0,White
19.0,White
47.0,White
23.0,White
26.0,White
56.0,White
45.0,White
53.0,White
42.0,White
36.0,White
58.0,White
69.0,White
30.0,White
45.0,White
28.0,White
17.0,White
46.0,White
35.0,White
15.0,White
40.0,White
48.0,White
58.0,White
49.0,White
60.0,White
29.0,White
34.0,White
22.0,White
49.0,White
32.0,White
61.0,White
49.0,White
35.0,White
29.0,White
51.0,White
52.0,White
32.0,White
45.0,White
40.0,White
37.0,White
36.0,White
19.0,White
35.0,White
25.0,White
43.0,White
20.0,White
42.0,White
31.0,White
33.0,White
59.0,White
35.0,White
28.0,White
59.0,White
62.0,White
50.0,White
68.0,White
17.0,White
38.0,White
54.0,White
31.0,White
60.0,White
24.0,White
27.0,White
24.0,White
41.0,White
43.0,White
30.0,White
29.0,White
27.0,White
50.0,White
22.0,White
46.0,White
65.0,White
35.0,White
47.0,White
24.0,White
35.0,White
31.0,White
32.0,White
47.0,White
44.0,White
44.0,White
30.0,White
60.0,White
50.0,White
19.0,White
56.0,White
45.0,White
22.0,White
53.0,White
48.0,White
25.0,White
34.0,White
63.0,White
18.0,White
71.0,White
35.0,White
18.0,White
51.0,White
29.0,White
40.0,White
30.0,White
53.0,White
59.0,White
46.0,White
41.0,White
24.0,White
34.0,White
48.0,White
24.0,White
49.0,White
53.0,White
43.0,White
30.0,White
47.0,White
29.0,White
44.0,White
19.0,White
50.0,White
57.0,White
30.0,White
38.0,White
31.0,White
29.0,White
26.0,White
64.0,White
36.0,White
36.0,White
21.0,White
57.0,White
53.0,White
45.0,White
22.0,White
46.0,White
27.0,White
54.0,White
28.0,White
23.0,White
,White
20.0,White
45.0,White
76.0,White
47.0,White
45.0,White
37.0,White
27.0,White
36.0,White
23.0,White
45.0,White
25.0,White
32.0,White
31.0,White
44.0,White
