manner_of_death,age,gender
shot,53.0,M
shot,47.0,M
shot and Tasered,23.0,M
shot,32.0,M
shot,39.0,M
shot,18.0,M
shot,22.0,M
shot,35.0,M
shot,34.0,F
shot,47.0,M
shot and Tasered,25.0,M
shot,31.0,M
shot,41.0,M
shot,30.0,M
shot,37.0,M
shot,28.0,M
shot,42.0,M
shot,36.0,M
shot,49.0,M
shot,71.0,M
shot,33.0,M
shot,39.0,M
shot,23.0,M
shot and Tasered,29.0,M
shot,34.0,M
shot,43.0,M
shot,24.0,M
shot,29.0,M
shot,34.0,M
shot,75.0,M
shot,68.0,M
shot,34.0,M
shot,27.0,M
shot,39.0,M
shot,24.0,M
shot,36.0,M
shot,33.0,M
shot,41.0,M
shot and Tasered,48.0,M
shot,21.0,M
shot,24.0,M
shot,27.0,M
shot,32.0,M
shot and Tasered,67.0,M
shot,49.0,M
shot,42.0,M
shot,36.0,M
shot,36.0,M
shot,19.0,M
shot,54.0,M
shot,25.0,M
shot and Tasered,17.0,F
shot,61.0,M
shot,29.0,M
shot,56.0,M
shot,40.0,M
shot,45.0,M
shot,26.0,M
shot,26.0,M
shot,59.0,M
shot,17.0,F
shot,68.0,M
shot,24.0,M
shot,34.0,M
shot,26.0,M
shot,29.0,M
shot,33.0,M
shot,39.0,F
shot,45.0,M
shot and Tasered,35.0,M
shot,26.0,M
shot,42.0,M
shot,31.0,M
shot,48.0,M
shot,31.0,M
shot and Tasered,54.0,M
shot,17.0,M
shot,59.0,M
shot,42.0,M
shot,23.0,M
shot,38.0,F
shot,29.0,M
shot,45.0,M
shot,28.0,M
shot,37.0,M
shot,28.0,M
shot,28.0,M
shot,51.0,M
shot,36.0,M
shot,59.0,M
shot,25.0,M
shot,26.0,M
shot,74.0,M
shot,33.0,M
shot,27.0,M
shot,57.0,M
shot,46.0,M
shot,41.0,M
shot,61.0,M
shot,45.0,M
shot and Tasered,35.0,M
shot,49.0,M
shot,45.0,M
shot,23.0,M
shot,46.0,M
shot,23.0,M
shot,21.0,M
shot,35.0,M
shot,27.0,M
shot,37.0,M
shot,16.0,M
shot,51.0,M
shot and Tasered,25.0,M
shot,34.0,M
shot,34.0,M
shot,56.0,M
shot,26.0,M
shot,24.0,M
shot,43.0,F
shot,31.0,M
shot,32.0,M
shot,30.0,M
shot,50.0,M
shot,20.0,F
shot,,M
shot,31.0,M
shot,38.0,M
shot,77.0,M
shot,41.0,M
shot,51.0,M
shot,50.0,M
shot and Tasered,42.0,M
shot and Tasered,39.0,M
shot,47.0,M
shot,37.0,M
shot,41.0,M
shot,16.0,M
shot and Tasered,30.0,M
shot,27.0,M
shot,43.0,M
shot and Tasered,31.0,M
shot,42.0,M
shot,21.0,M
shot,49.0,M
shot,34.0,F
shot,27.0,M
shot,24.0,M
shot and Tasered,17.0,M
shot,34.0,M
shot,28.0,F
shot,28.0,M
shot,40.0,M
shot,37.0,F
shot,49.0,M
shot and Tasered,43.0,M
shot,35.0,M
shot,20.0,M
shot,25.0,M
shot,25.0,M
shot,26.0,M
shot,28.0,M
shot,45.0,M
shot,36.0,M
shot,34.0,M
shot,37.0,M
shot,48.0,M
shot,19.0,M
shot,29.0,M
shot,40.0,M
shot,35.0,M
shot,43.0,F
shot,58.0,M
shot,46.0,M
shot,30.0,M
shot,27.0,M
shot,31.0,M
shot,23.0,M
shot,37.0,M
shot,64.0,M
shot,31.0,M
shot,39.0,M
shot,31.0,M
shot,25.0,M
shot,54.0,M
shot,53.0,M
shot,37.0,M
shot,35.0,M
shot,59.0,M
shot,36.0,M
shot,32.0,M
shot,41.0,M
shot,29.0,M
shot,53.0,M
shot,26.0,M
shot,27.0,M
shot,28.0,M
shot,52.0,M
shot,20.0,M
shot,22.0,M
shot,49.0,M
shot,24.0,M
shot,24.0,F
shot,47.0,M
shot,49.0,F
shot,64.0,M
shot,16.0,M
shot,20.0,M
shot,36.0,M
shot,39.0,M
shot,18.0,M
shot,31.0,M
shot,24.0,M
shot,63.0,M
shot,34.0,M
shot,44.0,M
shot,60.0,M
shot,42.0,M
shot,21.0,M
shot,37.0,M
shot and Tasered,36.0,M
shot and Tasered,21.0,M
shot,24.0,M
shot,38.0,M
shot,29.0,M
shot,57.0,M
shot,23.0,M
shot,27.0,M
shot,28.0,M
shot and Tasered,63.0,M
shot,53.0,F
shot,35.0,M
shot,56.0,M
shot,39.0,M
shot,23.0,M
shot,40.0,M
shot,26.0,F
shot,42.0,M
shot,41.0,M
shot,26.0,M
shot,29.0,M
shot,49.0,M
shot,54.0,M
shot,36.0,M
shot,21.0,M
shot,27.0,F
shot,37.0,M
shot,36.0,M
shot,32.0,M
shot and Tasered,63.0,M
shot,44.0,M
shot,27.0,M
shot,38.0,M
shot,17.0,M
shot and Tasered,50.0,M
shot,31.0,M
shot,34.0,M
shot,51.0,M
shot,56.0,M
shot,23.0,M
shot,25.0,M
shot,31.0,M
shot,32.0,M
shot,60.0,M
shot,42.0,M
shot,39.0,M
shot,28.0,M
shot and Tasered,54.0,M
shot,22.0,M
shot,29.0,M
shot,31.0,M
shot,28.0,M
shot,21.0,M
shot,38.0,M
shot,66.0,M
shot,36.0,M
shot,83.0,M
shot,32.0,M
shot,27.0,M
shot,26.0,M
shot,31.0,M
shot,22.0,M
shot,41.0,M
shot,41.0,M
shot,51.0,M
shot,72.0,M
shot,52.0,M
shot,47.0,M
shot,18.0,M
shot,29.0,M
shot,23.0,M
shot,43.0,M
shot,45.0,M
shot,40.0,M
shot,44.0,M
shot,25.0,M
shot,35.0,M
shot,37.0,M
shot,59.0,M
shot,35.0,M
shot,18.0,M
shot,51.0,M
shot,30.0,M
shot,31.0,M
shot,39.0,M
shot,26.0,M
shot,51.0,M
shot,19.0,M
shot,46.0,F
shot,49.0,M
shot,63.0,M
shot,20.0,M
shot,25.0,M
shot,24.0,M
shot,58.0,M
shot,29.0,M
shot,76.0,M
shot,45.0,M
shot,20.0,M
shot,58.0,M
shot,21.0,M
shot,27.0,M
shot,26.0,M
shot,33.0,M
shot,27.0,M
