Geographic Area,hs_grad_rate,poverty_rate
MS,78.47,26.88
AZ,80.47,25.67
GA,78.99,23.75
NM,80.98,23.08
AR,79.95,22.96
LA,79.29,22.34
SC,80.85,22.16
WV,82.35,21.13
OK,82.91,20.66
AL,80.3,20.65
MO,83.52,20.11
KY,82.36,20.04
TX,75.69,19.91
TN,81.62,19.89
AK,84.54,19.85
NC,83.25,19.75
ID,85.17,18.24
DC,89.3,18.0
MI,89.21,17.9
FL,85.74,17.57
CA,81.96,17.12
ME,91.43,16.89
OR,88.3,16.57
MT,90.49,16.5
SD,87.75,16.03
IN,86.32,15.49
WA,88.2,15.02
OH,88.34,14.85
KS,88.23,14.77
VA,84.88,14.59
IL,88.48,13.88
VT,89.98,13.79
MN,89.47,13.75
HI,91.67,13.4
CO,90.11,13.36
NE,89.99,12.98
WI,90.26,12.86
NH,90.71,12.66
DE,88.52,12.56
PA,89.0,12.52
NV,87.72,12.47
IA,90.11,12.29
ND,87.82,12.16
UT,91.62,11.98
NY,90.6,11.67
RI,88.82,10.37
MD,88.42,10.31
WY,92.1,9.94
MA,92.4,9.59
CT,91.57,9.16
NJ,90.85,8.19
